Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745017466.09,0,0,14.8,5.0,7.0,8.0,18.640742187500003,60.066530397859054,1002.5517613509026,89.45344668849233,40298.0
1745017471.11,0,0,15.4,4.5,6.5,8.5,18.26564453125,59.59560565517273,1003.4332490410329,82.05363893937727,77353.0
1745017476.1,0,0,15.6,4.0,6.0,8.0,18.121113281249997,59.15135093343767,1003.7836612876034,79.11353326435867,106116.0
1745017481.1,0,0,15.2,4.0,6.0,8.0,18.153828125,58.97983238655742,1003.8372782413169,78.66373905975391,118302.5
1745017486.05,0,0,16.0,4.0,5.5,7.5,18.23478515625,58.79551032266796,1003.8524804678439,78.53621067146918,127431.5
1745017491.09,0,0,15.4,4.0,5.0,7.0,18.3594921875,58.47100032056751,1003.8408099928845,78.63411167073667,137804.5
1745017496.06,0,0,16.8,4.0,5.0,7.0,18.3544140625,58.22346706791902,1003.855617837838,78.50989213284488,143778.5
1745017501.11,0,0,17.0,3.0,5.0,7.0,18.389375,58.07895274844732,1003.854001671321,78.52344970076436,148108.5
1745017506.08,0,0,14.2,3.0,5.0,6.0,18.470625,57.88894239094447,1003.8485154793232,78.56947200803873,153109.0
1745017511.05,0,0,16.4,3.5,5.0,6.0,18.50216796875,57.731237755272204,1003.8400831217867,78.6402092578245,157058.5
1745017516.09,0,0,15.0,4.0,5.0,6.0,18.542597656250003,57.519854210718805,1003.807407477679,78.91432298517954,160749.5
1745017521.06,0,0,16.6,3.0,5.0,6.0,18.546015625,57.35864759503143,1003.804909853649,78.93527577009965,163494.5
1745017526.11,0,0,15.4,4.0,5.0,6.0,18.50412109375,57.2625497087745,1003.807151933602,78.9164667308041,164457.5
1745017531.23,0,0,13.4,4.0,5.0,5.0,18.3669140625,57.41215649305856,1003.8182582125478,78.82329609978225,167250.5
1745017536.06,0,0,16.6,4.0,5.5,5.5,18.34640625,57.493456616267224,1003.8188613609786,78.81823632196637,168512.0
1745017541.12,0,0,14.4,4.0,6.0,6.0,18.10158203125,57.72582572718213,1003.7977654521469,78.99521062511386,171795.0
1745017546.11,0,0,13.8,4.0,6.0,6.0,18.00802734375,58.02741124882296,1003.796881657707,79.00262488138151,172591.5
1745017551.06,0,0,13.8,4.0,6.0,6.0,17.96125,58.26758521649932,1003.8014903082312,78.96396247826004,173845.5
1745017556.09,0,0,14.0,4.0,6.0,6.0,17.9721875,58.727189897581056,1003.7910001425004,79.05196572798847,174388.5
1745017561.05,0,0,15.4,3.5,6.0,6.0,17.981171875,58.9236893614882,1003.7923023818148,79.04104100294225,174843.5
1745017566.09,0,0,13.2,3.0,6.0,6.0,18.07140625,59.01091921027782,1003.8026111924413,78.95455929287664,174934.5
1745017571.11,0,0,14.6,4.0,6.5,6.5,18.121015625,59.056803889279344,1003.8054464613465,78.93077402981467,176781.0
1745017576.05,0,0,12.6,4.0,6.0,6.0,18.0954296875,58.97185185410833,1003.8132240489315,78.86552763032905,177813.5
1745017581.09,0,0,17.4,4.0,6.0,6.0,18.1540234375,58.87563880927338,1003.8342406727456,78.68922063026741,178572.0
1745017586.05,0,0,15.8,4.0,6.0,6.0,18.21046875,58.723851851310656,1003.8337675370049,78.69318971284923,179049.5
1745017591.17,0,0,16.4,3.0,6.0,6.0,18.208613281250003,58.46022820976685,1003.8271566305627,78.74864794379941,181277.0
1745017596.06,0,0,11.8,3.0,6.0,6.5,18.119746093750003,58.40268006369435,1003.7981680138114,78.99183366002302,181670.0
1745017601.06,0,0,15.0,3.0,6.0,7.0,18.083613281250003,58.35556257992349,1003.7791268801084,79.1515728071572,183060.0
1745017606.09,0,0,15.4,4.0,7.0,7.0,17.87267578125,58.30104315623025,1003.8007844732285,78.96988376609413,186214.5
1745017611.09,0,0,17.8,4.0,7.0,7.0,17.773554687500003,58.44347475294778,1003.8069847969196,78.91786885430481,186422.0
1745017616.06,0,0,17.6,4.0,7.0,7.0,17.77619140625,58.5802767115931,1003.8284597546001,78.7377161222663,185699.5
1745017621.11,0,0,16.6,4.5,7.0,7.5,17.84943359375,58.703997377779544,1003.8151486951192,78.84938179027111,185595.5
1745017626.06,0,0,12.8,4.5,6.5,7.5,17.92912109375,58.714824877119824,1003.8105094162909,78.88830070326054,185595.5
1745017631.09,0,0,16.0,4.0,6.0,6.0,18.039570312499997,58.56725682428484,1003.8206015091989,78.80363828072737,185848.5
1745017636.12,0,0,17.0,5.0,7.0,8.0,18.0950390625,58.480542917661175,1003.8159208242039,78.84290439215785,186214.5
