Both Sensors Readings
Current Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),PM1.0 (standard),PM2.5 (standard),PM10 (standard),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um
2025-02-28 16:13:21,22.7673046875,141639,41.43657253001985,999.315314759922,116.6671320190549,15,24,26,15,24,26,2775,788,131,25,1,1
2025-02-28 16:13:22,22.7278515625,143207,41.545058904333274,999.3155650881351,116.66502436536044,16,25,28,16,25,28,2808,800,135,30,2,2
2025-02-28 16:13:23,22.6899609375,142963,41.63595489973449,999.309821093781,116.7133863846532,16,25,28,16,25,28,2733,785,135,28,2,2
2025-02-28 16:13:24,22.65421875,142117,41.72712716024976,999.3129222397985,116.68727601008615,16,24,27,16,24,27,2703,776,129,26,2,2
2025-02-28 16:13:25,22.6216015625,142117,41.81868339861249,999.3161534792054,116.66007037245201,16,24,27,16,24,27,2754,780,127,28,2,2
2025-02-28 16:13:25,22.5878125,141639,41.922054195208254,999.3173825543381,116.64972211036225,16,24,27,16,24,27,2754,780,127,28,2,2
2025-02-28 16:13:26,22.5571484375,141758,42.043684696831,999.3170137848986,116.65282698278068,16,24,27,16,24,27,2754,780,127,28,2,2
2025-02-28 16:13:27,22.54015625,142600,42.14306655652537,999.3209168274954,116.6199651708712,16,23,26,16,23,26,2703,764,125,25,2,2
2025-02-28 16:13:28,22.524140625,142963,42.23665070380679,999.3195645807718,116.63135045055117,16,23,26,16,23,26,2703,764,125,25,2,2
2025-02-28 16:13:29,22.4934765625,142842,42.31674284579994,999.3191871124874,116.63452855771354,16,23,26,16,23,26,2703,764,125,25,2,2
2025-02-28 16:13:30,22.471015625,143574,42.39777265249804,999.3137638328138,116.68019015419853,16,23,24,16,23,24,2739,772,114,16,1,1
2025-02-28 16:13:31,22.4497265625,144066,42.47896706399972,999.3137948226088,116.67992923337412,16,23,24,16,23,24,2739,772,114,16,1,1
2025-02-28 16:13:31,22.41671875,144313,42.54098754672241,999.3180589537449,116.6440271347245,16,23,24,16,23,24,2739,772,114,16,1,1
2025-02-28 16:13:32,22.3985546875,144066,42.59869623637405,999.3216822575556,116.61352061627701,16,23,24,16,23,24,2718,780,106,15,1,1
2025-02-28 16:13:33,22.3794140625,144686,42.66228904850958,999.3184517372879,116.64072007721573,16,23,24,16,23,24,2718,780,106,15,1,1
2025-02-28 16:13:34,22.34328125,144686,42.7001137771293,999.3139196914468,116.67887789120607,16,23,24,16,23,24,2718,780,106,15,1,1
2025-02-28 16:13:35,22.3192578125,145186,42.76917539546637,999.3265674655004,116.5723895987396,15,22,23,15,22,23,2649,753,110,14,1,1
2025-02-28 16:13:36,22.2966015625,145437,42.80851344917098,999.3259819739138,116.57731913767518,15,22,23,15,22,23,2649,753,110,14,1,1
2025-02-28 16:13:37,22.2633984375,145060,42.840707150435286,999.3229737289034,116.60264705498811,15,22,23,15,22,23,2649,753,110,14,1,1
2025-02-28 16:13:37,22.245625,145563,42.910511336099106,999.3151479989449,116.668536073533,15,22,24,15,22,24,2598,748,112,16,2,2
2025-02-28 16:13:38,22.2284375,146069,42.938516419247854,999.3204216127351,116.62413464415565,15,22,24,15,22,24,2598,748,112,16,2,2
2025-02-28 16:13:39,22.19640625,145815,42.97085853837377,999.3280453445497,116.55994662536551,15,22,24,15,22,24,2598,748,112,16,2,2
2025-02-28 16:13:40,22.176484375,146196,43.02251001924286,999.328652421291,116.55483535908115,15,22,24,15,22,24,2568,740,112,15,2,2
2025-02-28 16:13:41,22.1565625,146578,43.056212311048924,999.3327148618336,116.52063181501295,15,22,24,15,22,24,2568,740,112,15,2,2
2025-02-28 16:13:42,22.1231640625,146069,43.08841852130845,999.3276248626228,116.56348686309843,15,22,24,15,22,24,2568,740,112,15,2,2
2025-02-28 16:13:43,22.103828125,146834,43.110218092074184,999.3292245259684,116.55001854145934,15,21,22,15,21,22,2631,746,110,10,1,1
2025-02-28 16:13:44,22.08625,147478,43.144194858772664,999.3251778255809,116.58408965810183,15,21,22,15,21,22,2631,746,110,10,1,1
2025-02-28 16:13:44,22.0551953125,146706,43.17667423520687,999.3258032380066,116.57882400282996,15,21,22,15,21,22,2631,746,110,10,1,1
2025-02-28 16:13:45,22.0372265625,147091,43.20462609273396,999.3193587952461,116.63308306871846,15,20,22,15,20,22,2586,721,110,10,1,1
