Timestamp, Count (per 10s)
2025-04-04T15:30:28.987371,5
2025-04-04T15:30:38.997907,11
2025-04-04T15:30:49.008456,8
2025-04-04T15:30:59.018943,9
2025-04-04T15:31:09.026730,14
2025-04-04T15:31:19.037218,7
2025-04-04T15:31:29.046722,10
2025-04-04T15:31:39.049313,10
2025-04-04T15:31:49.059791,3
2025-04-04T15:31:59.070282,4
2025-04-04T15:32:09.080827,5
2025-04-04T15:32:19.083961,5
