Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745016653.27,0,0,29.5,4.0,7.0,9.0,20.23029296875,54.23254334105965,1001.2369288603481,100.50056383132535,49003.0
1745016655.25,0,0,32.0,4.0,7.0,9.0,20.326679687499997,53.96186891947349,1001.231269093425,100.54814262580064,68852.0
1745016657.25,0,0,32.0,4.5,7.0,8.5,20.405292968749997,53.698753831184504,1001.2235562439547,100.6129810393966,81456.5
1745016659.24,0,0,27.0,4.5,7.0,8.5,20.46984375,53.459520460356316,1001.2185490712228,100.65507421957358,89838.0
1745016661.27,0,0,25.5,5.0,7.0,8.0,20.51740234375,53.22470392616407,1001.2162654873562,100.67427143033922,96006.5
1745016663.24,0,0,37.5,5.0,7.0,8.0,20.56466796875,53.03127402133386,1001.2219391393049,100.62657533181445,99616.5
1745016665.28,0,0,35.5,5.0,7.0,8.0,20.577656249999997,52.82412720906498,1001.2266595921495,100.58689261558348,104203.0
1745016667.22,0,0,35.5,5.0,7.0,8.0,20.571015625,52.65575035448552,1001.2176885735912,100.66230808755168,107755.0
1745016669.33,0,0,26.5,5.0,7.0,8.0,20.5446484375,52.52603811737829,1001.2126554316765,100.70461981378298,110381.0
1745016671.21,0,0,27.0,5.0,7.0,8.0,20.5446484375,52.52603811737829,1001.2126554316765,100.70461981378298,110381.0
1745016673.27,0,0,33.0,5.0,7.0,8.0,20.48126953125,52.43901928403342,1001.2171732240704,100.66664043762749,113912.0
1745016675.25,0,0,22.0,5.0,7.0,8.0,20.407832031250003,52.391771906740644,1001.2347385361002,100.51897679024245,115681.0
1745016677.25,0,0,22.0,4.0,7.0,7.0,20.3753125,52.397080060278654,1001.2478268843267,100.40895026122982,118299.5
1745016679.24,0,0,31.0,4.0,7.0,7.0,20.35451171875,52.40704001040061,1001.2456463586423,100.427280646415,119943.0
1745016681.27,0,0,38.5,4.0,6.5,6.5,20.2973828125,52.409207613046334,1001.2389198479837,100.48382665029955,121907.5
1745016683.24,0,0,27.5,4.0,6.5,6.5,20.27228515625,52.456474343571216,1001.2318224040196,100.54349122857593,122891.0
1745016685.31,0,0,37.5,4.0,6.0,6.0,20.28166015625,52.511311997096406,1001.2336795731746,100.52787892203054,124261.5
1745016687.22,0,0,37.5,4.0,6.0,6.0,20.2981640625,52.54498298819918,1001.2394280681697,100.47955435409526,125609.5
1745016689.27,0,0,24.5,4.0,7.0,7.0,20.3114453125,52.57193595244246,1001.2361976727832,100.50671054727557,126419.5
1745016691.24,0,0,38.5,4.0,7.0,7.0,20.31212890625,52.666756834745634,1001.2382304587543,100.48962200206458,127767.0
1745016693.28,0,0,29.0,4.0,6.5,6.5,20.30734375,52.74512342192314,1001.2367094837215,100.50240801746199,129195.0
1745016695.23,0,0,29.0,4.0,6.5,6.5,20.30939453125,52.802272737801154,1001.2461967962563,100.42265344039791,129745.0
1745016697.27,0,0,32.5,4.0,6.0,6.0,20.30607421875,52.839779878121846,1001.2446744906754,100.43545058724914,130859.5
1745016699.24,0,0,31.5,4.0,6.0,6.0,20.292890625,52.831763533210264,1001.2497681734487,100.39263102875407,132413.5
1745016701.27,0,0,32.0,3.0,6.0,6.0,20.28283203125,52.85260184554324,1001.2551975844535,100.3469894272628,133043.0
1745016703.24,0,0,35.0,3.0,6.0,6.0,20.27052734375,52.88580180003921,1001.2601195511197,100.30561370850873,133573.0
1745016705.31,0,0,35.0,3.5,7.0,7.0,20.26720703125,52.926488266107086,1001.2611382858471,100.29704988219538,134161.0
1745016707.25,0,0,34.0,3.5,7.0,7.0,20.26935546875,52.99003201873255,1001.266558918204,100.25148247029128,134863.5
1745016709.28,0,0,28.0,4.0,8.0,8.0,20.270625,53.053485259597544,1001.2577473975527,100.32555477916475,136071.5
1745016711.25,0,0,29.0,4.0,8.0,8.0,20.2688671875,53.13556770654242,1001.2546986662071,100.35118355833663,136180.0
1745016713.27,0,0,29.0,4.0,8.0,8.0,20.262714843749997,53.194946455206875,1001.2482639786879,100.40527589003148,137070.0
1745016715.25,0,0,36.0,4.0,8.0,8.0,20.244746093750003,53.30985481821058,1001.2492908166114,100.39664386144494,137860.5
1745016717.28,0,0,31.0,4.0,7.5,7.5,20.21798828125,53.41100981597819,1001.2477790339708,100.40935250449606,138947.0
1745016719.22,0,0,32.0,4.0,7.5,7.5,20.21798828125,53.41100981597819,1001.2477790339708,100.40935250449606,138947.0
1745016721.27,0,0,35.0,4.0,7.0,7.0,20.196796875,53.46534955106611,1001.2516836778473,100.37652856078054,138774.0
1745016723.24,0,0,35.0,4.0,7.0,7.0,20.16671875,53.451940454480095,1001.2435597579157,100.44482149617006,139642.0
1745016725.27,0,0,36.0,4.0,7.0,7.0,20.15568359375,53.48540097500853,1001.2405124846357,100.4704382205802,140638.5
1745016727.24,0,0,34.0,4.0,7.0,7.0,20.141132812499997,53.46765893291267,1001.2415307874284,100.46187791140073,140934.5
1745016729.27,0,0,34.5,4.0,7.0,7.0,20.13830078125,53.43240742986947,1001.2374653893428,100.49605353800538,141529.5
1745016731.24,0,0,37.0,4.0,7.0,7.0,20.12931640625,53.3836858657462,1001.23882120657,100.4846558748192,142134.0
1745016733.26,0,0,37.0,4.0,7.0,7.0,20.1149609375,53.36281063902375,1001.2435645136418,100.44478151943409,142859.5
1745016735.24,0,0,34.0,4.0,7.0,7.0,20.1212109375,53.37629786677681,1001.2442421679925,100.43908487308889,142796.5
1745016737.27,0,0,39.5,4.0,7.0,7.0,20.13986328125,53.38504916854187,1001.2401756494918,100.47326981969144,143346.5
